,ERHC_FA,ERLC_FA,LRHC_FA,LRLC_FA
0,18.699999999999996,17.399999999999995,16.5,15
1,37.39999999999999,34.79999999999999,33.0,30
2,56.10000000000001,52.20000000000001,49.5,45
3,74.79999999999998,69.59999999999998,66.0,60
4,93.5,87.0,82.5,75
