OBID,codebook,Types,OnSite,X,Y,Address,POP2010,POP10SQMI,POP2013,POP13SQMI
53,80,PM,"Dollar General - 5156 E. Main St., Columbus, Ohio 43213",-82.86287,39.955078,5156 east main street,39049009340,2816,4616.4,4757.39999999999
54,83,PM,"Dollar Tree - 1398 N. High St., Columbus, Ohio 43201",-83.0061769999999,39.9907079999999,1398 north high street,39049001700,2704,13520,15165
55,84,PM,"Dollar Tree - 2044 Crown Plaza Dr., Columbus, Ohio 43235",-83.072574,40.065258,2044 crown plaza drive,39049006396,4289,1307.6,1347
56,85,PM,"Dollar Tree - 4571 Morse Centre Dr., Columbus, Ohio 43229",-82.964353,40.0609949999999,4571 Morse centre drive,39049006933,5257,9063.8,9108.6
57,86,PM,"Dollar Tree - 4892 Morse Rd., Columbus, Ohio 43230",-82.8609649999999,40.055199,4892 morse road,39049007209,5706,2593.6,2736.8
58,92,PM,"Family Dollar -  445 Agler Rd., Gahanna, Ohio 43230",-82.8868269999999,40.0191909999999,224 agler road,39049007425,2867,2925.5,2943.9
59,93,PM,"Family Dollar - 1101 N. High St., Columbus, Ohio 43201",-83.005137,39.984954,1101 north high street,39049002100,1808,9040,8950
60,94,PM,"Family Dollar-  1150 E. Weber Rd., Columbus, Ohio 43211",-82.980991,40.0234979999999,1150 east weber road,39049000810,2540,6684.2,6615.8
61,95,PM,"Family Dollar - 1159 W. Broad St., Columbus, Ohio 43222",-83.031698,39.9584329999999,1159 West broad street,39049005000,5205,6347.6,6512.19999999999
62,96,PM,"Family Dollar - 1431 Cleveland Ave., Columbus, Ohio 43211",-82.9811919999999,39.994242,1431 Cleveland ave,39049001400,1543,2143.1,2129.19999999999
63,97,PM,"Family Dollar - 1985 E. Main St., Columbus, Ohio 43205",-82.946173,39.9573639999999,1985 east main street,39049005410,1362,3492.3,3725.59999999999
64,98,PM,"Family Dollar - 2372 Cleveland Ave., Columbus, Ohio 43211",-82.9661739999999,40.015593,2372 cleveland ave,39049000920,2069,5911.4,5505.69999999999
65,99,PM,"Family Dollar - 5061 Roberts Rd., Hilliard, Ohio 43026",-83.1419319999999,40.0033239999999,5061 roberts road,39049007954,7659,2462.7,2610.9
66,100,PM,"Family Dollar - 629 Harrisburg Pike, Columbus, Ohio 43223",-83.036917,39.94427,629 harrisburg pike,39049008330,1744,2859,2809.8
67,101,PM,"Family Dollar - 901 S. James Rd., Columbus, Ohio 43227",-82.915187,39.952648,901 south james road,39049002770,1995,5541.7,5708.3
68,343,PM,"Walgreens - 1162 Harrisburg Pike, Columbus, Ohio 43223",-83.0476529999999,39.932568,1162 harrisburg pike,39049008330,1744,2859,2809.8
69,344,PM,"Walgreens - 1280 Demorest Rd., Columbus, Ohio 43204",-83.090366,39.9282279999999,1280 demorest road,39049008360,6366,3905.5,3857.09999999999
70,345,PM,"Walgreens - 1444 W 5th Ave., Columbus, Ohio 43212",-83.0450699999999,39.9888479999999,1444 west 5th ave,39049001902,3410,7930.2,7911.6
71,346,PM,"Walgreens - 3015 E. Livingston Ave., Columbus, Ohio 43209",-82.9160229999999,39.946893,3015 East livingston ave,39049002780,2423,3563.2,3650
72,347,PM,"Walgreens - 5195 N. Hamilton Rd., Columbus, Ohio 43230",-82.863217,40.0625829999999,5195 North Hamilton,39049007132,7422,3241,3285.19999999999
